adult|budget|nbGenres|original_language|popularity|vote_average|release_date|revenue|runtime|tagline|title|vote_count|Western|Family|Horror|Drama|Fantasy|Science Fiction|Crime|Romance|Action|War|Music|Animation|TV Movie|Documentary|History|Mystery|Thriller|Foreign|Comedy|Adventure
false|15000.0|2|sr|0.199597|10.0|2017-06-03|0|27|Where the motto Hit the pot, win a jackpot leads?|Life According to Moskri|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0
false|0.0|0|en|0.199346|9.0|2017-10-20|0|90||Hooked|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|2|pa|0.198908|8.0|2017-10-20|0|0||ਡੰਗਰ ਡਾਕਟਰ|1|0.0|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|0.0
false|0.0|1|en|0.198807|9.0|2017-07-18|0|60||Olly Alexander: Growing Up Gay|3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.195254|6.0|2017-03-07|0|139||Tupac Assassination: Battle For Compton|2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|3|en|0.195224|10.0|2017-06-25|0|1||No(thing) Staring Back|1|0.3333333333333333|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|de|0.195212|7.0|2017-08-07|0|85||Goliath|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.19514|0.0|2017-07-12|0|28||Mother: Select Scenes from the Motion Picture|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.194897|0.0|2017-09-28|0|20||Estranhas|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.194849|8.0|2017-10-18|0|||Secrets of the Forbidden City|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|fr|0.194573|6.0|2017-10-18|0|10|animated, short|Midnight's Garden|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.194529|0.0|2017-03-23|0|63||Moriyama-San|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|en|0.197063|0.0|2017-09-23|0|81||Shut Up and Say Something|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|7000.0|0|en|0.197049|0.0|2017-01-01|0|15|A story of the desire to escape, and the impossibility of escaping oneself.|Jas|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|hu|0.196333|7.0|2017-08-12|0|20||Come by Chance|1|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|1|fr|0.196106|0.0|2017-11-08|0|137||We Blew It|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.195763|0.0|2017-04-24|0|20||Hypertable – Essay on Friendship|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.202927|10.0|2017-04-29|0|0|When Sudi wins a lottery, he dreams of living a descent life off the streets but his dreams are shattered when his gang mate Jeff points his guns at him.|Mission 2016|1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
false|0.0|0|en|0.201611|0.0|2017-08-02|0|84||The Song Keepers|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
